intagncy_agency,intagncy_name,intagncy_year,intagncy_month,intagncy_day,intagncy_lon,intagncy_lat,intagncy_area_ha,intagncy_forest_area_ha,MTBS_name,MTBS_year,MTBS_month,MTBS_day,MTBS_lon,MTBS_lat,MTBS_area_ha,MTBS_forest_area_ha,MTBS_filename,final_year,final_month,final_day,final_lon,final_lat,final_area_ha,final_forest_area_ha
"CalFire","CREST FIRE",1984,1,27,-118.1874,34.226,245.15,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,1,27,-118.1874,34.226,245.15,0
"CalFire","RATTLESNAKE",1984,3,20,-117.4109,34.016,125.91,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,20,-117.4109,34.016,125.91,0
"BIA","POLAC AIR",1984,3,24,-110.209,35.7867,161.87,83.85,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,24,-110.209,35.7867,161.87,83.85
"BLM","STODDARD",1984,3,24,-117.1009,34.6,101.17,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,3,24,-117.1009,34.6,101.17,0
"BLM","GOAT",1984,4,21,-116.9175,34.6667,242.81,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,21,-116.9175,34.6667,242.81,0
"CalFire","UNKNOWN",1984,4,22,-117.852,34.2721,114.44,2.18,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,22,-117.852,34.2721,114.44,2.18
"CalFire","ASSIST #6",1984,4,23,-117.1065,32.9241,145.93,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,23,-117.1065,32.9241,145.93,0
"BIA","M-MOUNTAIN",1984,4,27,-112.0407,33.165,161.87,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,4,27,-112.0407,33.165,161.87,0
"BIA","NINE DAYS",1984,5,4,-112.0057,33.165,485.62,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,4,-112.0057,33.165,485.62,0
"CalFire","QUARRY FIRE",1984,5,6,-118.3525,34.4367,158.66,0,"N/A",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"N/A",1984,5,6,-118.3525,34.4367,158.66,0
